country,year,tech,capacity_mw
IT,2021,Marine,0.0
IT,2021,Other,837.0
IT,2021,Other renewable,0.0
IT,2021,Solar,4979.0
IT,2021,Waste,125.0
IT,2021,Offshore wind,0.0
IT,2021,Onshore wind,10302.0
IT,2022,Biomass,1548.0
IT,2022,Lignite,0.0
IT,2022,Gas,44002.0
IT,2022,Hard coal,6376.0
IT,2022,Oil & other fossil,1490.0
IT,2022,Geothermal,869.0
IT,2022,Hydro pumped (production),7256.0
IT,2022,Hydro run-of-river,10507.0
IT,2022,Hydro reservoir,4441.0
IT,2022,Marine,0.0
IT,2022,Other,825.0
IT,2022,Other renewable,0.0
IT,2022,Solar,5137.0
IT,2022,Waste,122.0
IT,2022,Offshore wind,0.0
IT,2022,Onshore wind,10658.0
IT,2023,Biomass,1534.0
IT,2023,Lignite,0.0
IT,2023,Gas,46287.0
IT,2023,Hard coal,5576.0
IT,2023,Oil & other fossil,1543.0
IT,2023,Geothermal,869.0
IT,2023,Hydro pumped (production),7256.0
IT,2023,Hydro run-of-river,10553.0
IT,2023,Hydro reservoir,4440.0
IT,2023,Marine,0.0
IT,2023,Other,853.0
IT,2023,Other renewable,0.0
IT,2023,Solar,5431.0
IT,2023,Waste,120.0
IT,2023,Offshore wind,30.0
IT,2023,Onshore wind,11204.0
IT,2024,Biomass,1543.0
IT,2024,Lignite,0.0
IT,2024,Gas,47228.0
IT,2024,Hard coal,5583.0
IT,2024,Oil & other fossil,1564.0
IT,2024,Geothermal,868.0
IT,2024,Hydro pumped (production),7256.0
IT,2024,Hydro run-of-river,10291.0
IT,2024,Hydro reservoir,4542.0
IT,2024,Marine,0.0
IT,2024,Other,334.0
IT,2024,Other renewable,1.0
IT,2024,Solar,5927.0
IT,2024,Waste,670.0
IT,2024,Offshore wind,30.0
IT,2024,Onshore wind,11651.0
IT,2025,Biomass,1539.0
IT,2025,Lignite,0.0
IT,2025,Gas,47625.0
IT,2025,Hard coal,5227.0
IT,2025,Oil & other fossil,1548.0
IT,2025,Geothermal,868.0
IT,2025,Hydro pumped (production),7245.0
IT,2025,Hydro run-of-river,10317.0
IT,2025,Hydro reservoir,4548.0
IT,2025,Marine,0.0
IT,2025,Other,437.0
IT,2025,Other renewable,1.0
IT,2025,Solar,8922.0
IT,2025,Waste,671.0
IT,2025,Offshore wind,30.0
IT,2025,Onshore wind,12233.0
DE,2026,Biomass,8855.9
DE,2026,Other,16056.28
DE,2026,Lignite,14808.4
DE,2026,Gas,37469.02
DE,2026,Hard coal,15307.73
DE,2026,Oil & other fossil,3929.69
DE,2026,Geothermal,75.55
DE,2026,Hydro pumped (production),9401.8
